Participante;Equipo 1;Gana 1;Empata;Gana 2;Equipo 2
Mariana;Argentina;X;;;Arabia Saudita
Mariana;Polonia;;X;;Mexico
Mariana;Argentina;X;;;Mexico
Mariana;Arabia Saudita;;;X;Polonia
Pedro;Argentina;X;;;Arabia Saudita
Pedro;Polonia;;;X;Mexico
Pedro;Argentina;X;;;Mexico
Pedro;Arabia Saudita;;X;;Polonia
Tomas;Argentina;X;;;Arabia Saudita
Tomas;Polonia;X;;;Mexico
Tomas;Argentina;X;;;Mexico
Tomas;Arabia Saudita;X;;;Polonia
Ana;Argentina;;;X;Arabia Saudita
Ana;Polonia;X;;;Mexico
Ana;Argentina;X;;;Mexico
Ana;Arabia Saudita;;;X;Polonia
Roberto;Argentina;;;X;Arabia Saudita
Roberto;Polonia;;X;;Mexico
Roberto;Argentina;X;;;Mexico
Roberto;Arabia Saudita;;X;;Polonia
